"","q33","q35","q36","q37","q44","q61","q139","se2","se3_1","se3_2","se4","se5","se5a","se6","se7","se7a"
"499",1,2,2,2,3,3,3,1,1962,55,2,3,6,40,2,2
"500",1,2,2,2,3,2,3,2,1965,52,2,7,12,40,1,2
"501",1,2,2,2,3,2,2,1,1993,24,2,4,7,40,99,9
"502",1,2,2,2,3,2,3,2,1973,44,2,3,6,40,99,9
"503",1,2,2,2,2,1,3,1,1980,37,2,5,9,40,1,9
"504",1,2,2,2,3,2,3,2,1960,57,2,3,6,40,99,9
"505",1,2,2,2,3,2,2,1,1973,44,2,3,6,40,1,2
"506",1,2,2,2,3,2,3,2,1980,37,2,3,6,40,1,2
"507",1,2,2,2,3,2,3,1,1958,59,2,2,4,40,1,2
"508",1,2,2,2,3,2,3,2,1986,31,2,3,6,40,1,2
"509",1,2,2,2,2,2,2,1,1978,39,2,3,6,40,1,2
"510",1,2,2,2,2,3,3,2,1985,32,2,3,6,40,1,9
"511",1,2,2,2,3,1,2,1,1971,46,2,3,6,40,1,1
"512",1,2,2,2,3,1,2,2,1995,22,2,5,9,40,1,2
"513",2,2,2,2,3,1,2,1,1964,53,2,2,5,40,1,1
"514",1,2,2,2,2,2,3,2,1974,43,2,2,4,40,1,2
"515",2,2,2,2,2,2,2,1,1980,37,2,7,12,40,1,2
"516",1,1,2,2,2,2,2,2,1990,27,2,2,4,40,1,1
"517",1,2,2,2,3,3,2,1,1987,30,2,3,6,40,1,2
"518",1,2,2,2,2,4,8,2,1950,67,2,1,-1,40,1,2
"519",1,2,2,2,4,4,3,1,1959,58,2,7,12,40,1,1
"520",1,2,1,2,2,2,2,2,1963,54,2,3,6,40,1,1
"521",1,2,2,2,2,8,8,1,1959,58,2,2,4,40,1,2
"522",2,2,2,2,2,1,2,2,1996,21,2,5,9,40,1,2
"523",1,2,2,2,2,2,3,1,1982,35,2,7,12,40,1,2
"524",1,2,1,1,4,2,3,2,1989,28,2,9,16,40,1,2
"525",1,2,2,2,2,2,3,1,-1,-1,9,5,-1,99,99,1
"526",1,2,2,2,2,2,3,2,1978,39,2,9,16,40,1,2
"527",1,2,2,2,2,2,2,1,1948,69,2,2,4,40,1,2
"528",1,2,2,2,3,2,2,2,1988,29,1,7,12,40,1,2
"529",1,2,2,2,2,2,2,1,1972,45,2,8,13,40,1,2
"530",1,2,2,2,4,2,2,2,1986,31,2,7,12,40,1,2
"531",1,2,2,2,3,2,3,1,1960,57,2,9,12,40,1,1
"532",1,2,2,2,3,2,2,2,1995,22,1,8,12,40,1,2
"533",1,2,2,2,4,1,3,1,1967,50,2,5,8,40,1,1
"534",1,2,2,2,3,2,3,2,1997,20,1,5,9,40,1,1
"535",1,2,2,2,2,1,2,1,1972,45,2,4,8,40,1,1
"536",1,2,2,2,4,1,3,2,1994,23,1,7,12,40,1,1
"537",1,2,2,2,4,2,7,1,1959,58,2,3,6,40,1,1
"538",1,2,2,2,4,1,4,2,1982,35,2,3,6,40,1,1
"539",1,2,1,2,2,3,2,1,1969,48,2,3,6,40,1,1
"540",1,2,1,1,3,1,3,2,1969,48,5,5,8,40,1,1
"541",1,2,2,2,2,2,4,1,1955,62,2,2,3,40,1,2
"542",1,2,2,2,3,2,3,2,1975,42,2,3,6,40,1,2
"543",1,2,2,2,2,2,3,1,1956,61,1,3,6,40,1,1
"544",1,1,2,2,4,3,2,2,1973,44,2,3,6,40,1,1
"545",1,2,2,2,3,3,2,1,1926,91,2,1,-1,40,1,1
"546",1,1,2,2,2,3,3,2,1970,47,2,3,6,40,1,1
"547",1,1,2,2,2,2,2,1,1982,35,2,5,9,40,2,1
"548",1,2,2,2,3,2,3,2,1950,67,2,2,4,40,1,1
"549",1,2,2,2,3,3,3,1,1975,42,2,3,6,40,1,2
"550",1,1,2,2,3,8,3,2,1963,54,2,2,5,40,1,1
"551",1,2,2,2,3,2,3,1,1977,40,2,7,12,40,1,2
"552",1,2,2,2,2,2,3,2,1978,39,2,9,15,40,1,2
